80 40
9924 3531 3
2733 22 3
4425 2615 4
940 8369 8
9618 3642 2
3217 3155 2
8611 2414 9
1358 2712 9
6360 446 4
6831 144 1
3588 4272 8
2947 4661 6
2429 8882 1
2852 5560 7
2965 842 5
9349 2764 4
9482 5178 2
9956 4712 10
6240 4592 7
4201 3545 9
4138 8957 1
4327 8169 6
1759 7966 8
5598 925 10
4669 7802 8
9737 1756 7
4204 7506 6
8328 1218 2
2250 7272 1
9930 2396 1
4854 2972 9
1534 9338 2
1275 8798 10
5684 4594 4
3945 3027 9
5714 1631 3
5946 594 8
1487 3521 10
5871 3056 4
5896 7037 9
1966 1636 7
9679 8751 1
5207 4456 6
3590 7075 2
3256 3961 3
5606 6700 8
9526 821 3
1824 4657 7
3612 1951 2
6445 4059 8
1867 6268 3
6666 2155 6
7671 784 2
7973 958 2
7632 834 3
9478 1713 5
9177 1916 3
9712 5661 4
9496 6806 8
3897 5140 5
1815 223 4
8973 3951 9
3878 3837 4
4503 1761 1
1572 3514 4
3719 5280 2
8005 665 1
7846 3639 1
3986 1476 3
1931 3228 10
3960 1700 7
7875 4005 4
8426 5632 1
1487 2754 8
7050 2230 6
8734 9598 7
7210 2475 8
869 8247 7
1829 8259 4
8167 4564 8
